,province,area_zone,classes,occupation,wage_rate_per_hour
333,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Insulator Trainee 1 (0 to 1,200 hours)",12.47
334,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Specialty labourer (assisting bricklayer),17.87
335,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Specialty labourer (assisting bricklayer) Trainee 2 (1,201 to 2,400 hours)",14.3
336,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Specialty labourer (assisting bricklayer) Trainee 1 (0 to 1,200 hours)",10.72
337,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,General construction labourer,17.01
338,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- General construction labourer Trainee 2 (1,201 to 2,400 hours)",13.61
339,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- General construction labourer Trainee 1 (0 to 1,200 hours)",10.21
340,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"Marble, tile and terrazzo",19.17
341,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Marble, tile and terrazzo Trainee 2 (1,201 to 2,400 hours)",15.34
342,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Marble, tile and terrazzo Trainee 1 (0 to 1,200 hours)",11.5
343,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Plasterer,20.07
344,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Plasterer Trainee 2 (1,201 to 2,400 hours)",16.06
345,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Plasterer Trainee 1 (0 to 1,200 hours)",12.04
346,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Pre-fabricated metal building erector,21.6
347,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Pre-fabricated metal building erector Trainee 2 (1,201 to 2,400 hours)",17.28
348,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Pre-fabricated metal building erector Trainee 1 (0 to 1,200 hours)",12.96
349,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"Sheeter, decker and cladder",23.36
350,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Sheeter, decker and cladder Trainee 2 (1,201 to 2,400 hours)",18.69
351,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Sheeter, decker and cladder Trainee 1 (0 to 1,200 hours)",14.02
352,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Scaffolder,22.05
353,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Scaffolder Trainee 2 (1,201 to 2,400 hours)",17.64
354,Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Scaffolder Trainee 1 (0 to 1,200 hours)",13.23
355,Manitoba,Outside Winnipeg Area,Part 3: Other workers,Construction worker,10.98
356,Manitoba,Outside Winnipeg Area,Part 3: Other workers,Heavy construction sector -Mobile crane operator working on heavy construction,17.7
357,Manitoba,Outside Winnipeg Area,Part 3: Other workers,Heavy construction sector -Heavy duty mechanic or welder working on heavy equipment,16.2
358,Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Operator of a dragline, clam shell, shovel, hydraulic excavator, pile driver and other equipment requiring similar skills",16.0
359,Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Plant operator, operator of paving machine, dozer, loader, loader backhoe, grader, scraper, hydro excavator, tractor with controlled attachments, and other equipment requiring similar skills",14.25
360,Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Truck operator of trucks with four or more axles, fuel truck, distribution truck, truck with hydraulic boom hoist",14.0
361,Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Truck operator of trucks with less than four axles and more than 2,500 kgs",13.2
362,Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Operator of light trucks (less than 2,500 kgs) ride-on/tractor-pulled compaction equipment and other equipment requiring similar skills",12.4
